timestamp,fails,successes
2022-02-16 23:30:35,4,19
2022-02-23 23:30:35,0,25
2022-03-02 23:30:35,1,23
2022-03-09 23:30:35,1,22
2022-03-16 23:30:35,1,24
2022-03-23 23:30:35,0,25
2022-03-30 23:30:35,0,23
2022-04-06 23:30:35,0,25
2022-04-13 23:30:35,0,21
2022-04-20 23:30:35,1,24
2022-04-27 23:30:35,0,21
2022-05-04 23:30:35,0,25
2022-05-11 23:30:35,1,22
2022-05-18 23:30:35,1,24
2022-05-25 23:30:35,0,22
2022-06-01 23:30:35,0,24
2022-06-08 23:30:35,0,24
2022-06-15 23:30:35,0,24
2022-06-22 23:30:35,0,23
2022-06-29 23:30:35,1,24
2022-07-06 23:30:35,0,24
2022-07-13 23:30:35,1,22
2022-07-20 23:30:35,2,21
2022-07-27 23:30:35,1,23
2022-08-03 23:30:35,1,23
2022-08-10 23:30:35,1,23
2022-08-17 23:30:35,1,23
2022-08-24 23:30:35,2,21
2022-08-31 23:30:35,1,24
2022-09-07 23:30:35,1,23
2022-09-14 23:30:35,1,23
2022-09-21 23:30:35,0,25
2022-09-28 23:30:35,1,24
2022-10-05 23:30:35,0,23
2022-10-12 23:30:35,1,21
2022-10-19 23:30:35,1,23
2022-10-26 23:30:35,0,25
2022-11-02 23:30:35,0,24
2022-11-09 23:30:35,1,24
2022-11-16 23:30:35,1,22
2022-11-23 23:30:35,1,23
2022-11-30 23:30:35,2,22
2022-12-07 23:30:35,0,24
2022-12-14 23:30:35,1,24
2022-12-21 23:30:35,0,24
2022-12-28 23:30:35,0,24
2023-01-04 23:30:35,0,25
2023-01-11 23:30:35,1,22
2023-01-18 23:30:35,0,25
2023-01-25 23:30:35,0,24
