type,timestamp,fails
Novice,2022-02-16 15:51:03,11
Novice,2022-02-23 15:51:03,16
Novice,2022-03-02 15:51:03,19
Novice,2022-03-09 15:51:03,17
Novice,2022-03-16 15:51:03,13
Novice,2022-03-23 15:51:03,12
Novice,2022-03-30 15:51:03,18
Novice,2022-04-06 15:51:03,15
Novice,2022-04-13 15:51:03,12
Novice,2022-04-20 15:51:03,14
Novice,2022-04-27 15:51:03,17
Novice,2022-05-04 15:51:03,13
Novice,2022-05-11 15:51:03,14
Novice,2022-05-18 15:51:04,18
Novice,2022-05-25 15:51:04,17
Novice,2022-06-01 15:51:04,10
Novice,2022-06-08 15:51:04,16
Novice,2022-06-15 15:51:04,12
Novice,2022-06-22 15:51:04,10
Novice,2022-06-29 15:51:04,12
Novice,2022-07-06 15:51:04,11
Novice,2022-07-13 15:51:04,8
Novice,2022-07-20 15:51:04,14
Novice,2022-07-27 15:51:04,8
Novice,2022-08-03 15:51:04,6
Novice,2022-08-10 15:51:04,15
Novice,2022-08-17 15:51:04,9
Novice,2022-08-24 15:51:04,9
Novice,2022-08-31 15:51:04,12
Novice,2022-09-07 15:51:04,9
Novice,2022-09-14 15:51:04,10
Novice,2022-09-21 15:51:04,9
Novice,2022-09-28 15:51:04,8
Novice,2022-10-05 15:51:04,10
Novice,2022-10-12 15:51:04,12
Novice,2022-10-19 15:51:04,12
Novice,2022-10-26 15:51:04,9
Novice,2022-11-02 15:51:04,7
Novice,2022-11-09 15:51:04,10
Novice,2022-11-16 15:51:04,10
Novice,2022-11-23 15:51:04,9
Novice,2022-11-30 15:51:04,12
Novice,2022-12-07 15:51:04,9
Novice,2022-12-14 15:51:04,12
Novice,2022-12-21 15:51:04,7
Novice,2022-12-28 15:51:04,9
Novice,2023-01-04 15:51:04,8
Novice,2023-01-11 15:51:04,10
Novice,2023-01-18 15:51:04,8
Novice,2023-01-25 15:51:04,8
