type,timestamp,fails
Standard,2022-02-16 15:51:03,5
Standard,2022-02-23 15:51:03,7
Standard,2022-03-02 15:51:03,7
Standard,2022-03-09 15:51:03,5
Standard,2022-03-16 15:51:03,3
Standard,2022-03-23 15:51:03,6
Standard,2022-03-30 15:51:03,3
Standard,2022-04-06 15:51:03,3
Standard,2022-04-13 15:51:03,5
Standard,2022-04-20 15:51:03,4
Standard,2022-04-27 15:51:03,4
Standard,2022-05-04 15:51:03,5
Standard,2022-05-11 15:51:03,2
Standard,2022-05-18 15:51:04,0
Standard,2022-05-25 15:51:04,2
Standard,2022-06-01 15:51:04,2
Standard,2022-06-08 15:51:04,3
Standard,2022-06-15 15:51:04,2
Standard,2022-06-22 15:51:04,3
Standard,2022-06-29 15:51:04,1
Standard,2022-07-06 15:51:04,3
Standard,2022-07-13 15:51:04,3
Standard,2022-07-20 15:51:04,3
Standard,2022-07-27 15:51:04,0
Standard,2022-08-03 15:51:04,1
Standard,2022-08-10 15:51:04,3
Standard,2022-08-17 15:51:04,1
Standard,2022-08-24 15:51:04,3
Standard,2022-08-31 15:51:04,1
Standard,2022-09-07 15:51:04,3
Standard,2022-09-14 15:51:04,3
Standard,2022-09-21 15:51:04,1
Standard,2022-09-28 15:51:04,3
Standard,2022-10-05 15:51:04,0
Standard,2022-10-12 15:51:04,2
Standard,2022-10-19 15:51:04,3
Standard,2022-10-26 15:51:04,1
Standard,2022-11-02 15:51:04,2
Standard,2022-11-09 15:51:04,2
Standard,2022-11-16 15:51:04,3
Standard,2022-11-23 15:51:04,1
Standard,2022-11-30 15:51:04,1
Standard,2022-12-07 15:51:04,6
Standard,2022-12-14 15:51:04,3
Standard,2022-12-21 15:51:04,0
Standard,2022-12-28 15:51:04,1
Standard,2023-01-04 15:51:04,3
Standard,2023-01-11 15:51:04,0
Standard,2023-01-18 15:51:04,2
Standard,2023-01-25 15:51:04,0
